class	supervoxel_id	root_id	group	side	type	systematic_type	synonyms	comment	long_tract	soma_location	soma_division	neuropil	manc_match_id	manc_group	confidence_manc_match_1_5	subclass_MANC
DN	73256337261281970	648518346515430906	73256337261281970	L	DNg06	DNxn100			MTD-II		brain	xn	26939	22002	5	xn
DN	73537812171031676	648518346495409999	73256337261281970	R	DNg06	DNxn100			MTD-II		brain	xn	31771	22002	5	xn
DN	73256337194223615	648518346485364243	73256337261281970	L	DNg06	DNxn100			MTD-II		brain	xn	69417	22002	5	xn
DN	73256337328856212	648518346479177404	73256337328856212	L	DNg07	DNut036	aPN(desc)	AMMC-VNC PN, aPN(desc) neuron	DMT		brain	xn	34144	34144	4	ut
DN	73537812372438370	648518346514068779	73256337328856212	R	DNg07	DNut036	aPN(desc)	AMMC-VNC PN, aPN(desc) neuron	DMT		brain	xn	34409	34144	4	ut
DN	73256337328753697	648518346475224417	73256337328753697	L	DNg07	DNut036	aPN(desc)	AMMC-VNC PN, aPN(desc) neuron	DMT		brain	wt	34462	34144	4	ut
DN	73256337328818202	648518346511103541	73256337328753697	L	DNg07	DNut036	aPN(desc)	AMMC-VNC PN, aPN(desc) neuron	DMT		brain	ut	40234	34144	4	ut
DN	73608181049718324	648518346502329511	73256337328753697	R	DNg07	DNut036	aPN(desc)	AMMC-VNC PN, aPN(desc) neuron	DMT		brain	xn	38128	34144	4	ut
DN	73537812372397791	648518346476809744	73256337328753697	R	DNg07	DNut036	aPN(desc)	AMMC-VNC PN, aPN(desc) neuron	DMT		brain	xn	43011	34144	4	ut
DN	73256337328852212	648518346514271431	73256337328852212	L	DNg07	DNut034	aPN(desc)	AMMC-VNC PN, aPN(desc) neuron	ITD		brain	ut	43795	43795	4	ut
DN	73256337328852203	648518346486000324	73256337328852212	L	DNg07	DNut034	aPN(desc)	AMMC-VNC PN, aPN(desc) neuron	ITD		brain	ut	45311	43795	4	ut
DN	73537812372438371	648518346470274302	73256337328852212	R	DNg07	DNut034	aPN(desc)	AMMC-VNC PN, aPN(desc) neuron	ITD		brain	it	45282	43795	4	ut
DN	73537812372447909	648518346475223393	73256337328852212	R	DNg07	DNut034	aPN(desc)	AMMC-VNC PN, aPN(desc) neuron	ITD		brain	ut	47124	43795	4	ut
DN	73537812372516412	648518346494670474	73256337328852212	R	DNg07	DNut034	aPN(desc)	AMMC-VNC PN, aPN(desc) neuron	ITD		brain	ut	47124	43795	4	ut
DN	73256337395727405	648518346474405826	73256337395727405	L	DNg08	DNut015			ITD	g	brain	xn	23834	18953	5	ut
DN	73185968651583350	648518346493801102	73256337395727405	L	DNg08	DNut015			ITD	g	brain	ut	24458	18953	5	ut
